sequence,16S_rRNA_Count
031b21a04b1a8a94ae5c6c703397c1ee,1
032219ca1775922c85fd0d93ccc374ef,1
03229417a43b88691cc71c24a25c3ceb,3
032457d083489710340c91537b5458f3,1
032543bbf72278de334c555ef7fef4aa,1
03293336cd01cb582d81326398546741,1
032b34377920c28972c678b96f067c93,1
032c837348e28f6df7874179833b378d,1
032e58a685206694a3f7b3845bf17dae,2
032fbb50092d6ea1e7d952a1d5df796c,1
033686fc94a69413b33d089803a7e9b2,2
033780cd676d1a62fb326ba3388d36cd,2
033b8504e08072cf6bb8d558510a6ba3,1
033c15f01ce3c45561f7148fb929b726,1
035641b5f08a878aa5191b4207e05394,2
0357451eacad1587d8d146ff51e4a948,1
0361fa047d441be95c0c83681d84dfd9,1
03667aea46cf8da3e3f58d27797ca343,2
03681783efff14f231cfe5fea32185c4,1
036a62d940262f1e2bec4f712bac4756,1
03710ccf8854e6dcf7b44c9cafcbe714,1
037d55ef5d664ce56a9f8db80802dd56,1
037dd16b2071b1f840917d00a9b1f6c6,1
038887e5c803ea642de37acfbf856111,2
038b560d1d8bbdc0410470b3883a0ce0,1
039046b928277de268a4f3615d639fce,1
039456fe8c0121b793272cd4bfcf7377,1
03a075f3dc860277aa2b0d868179abbd,1
03a48c897d409fb080e0de5275e6f0b5,1
03af51e75c7ee46771685036b7c12f28,1
03af5467987875df52bd91bb1bc87464,1
03b68d3d9688d8ac6342a8cd842a4acd,1
03be6329f568f712d9ed9236c8b3ce57,1
03c2d07fb60c3da307f2bc3b83ae2ddf,2
03c49c57804e3e6bd9bff170569d0fa2,1
03c58d961791947171bc265401e35604,1
03d1ffd187b1f04308941ff3b4c0e1bf,1
03d895be0bc2e932b1ada427fc60dac3,1
03da15a0712d23eb3beb8788f4c6e202,1
03db0c0667463b7eed7528accb789c1e,3
03dfa836a8c72c5289e9fb18cf98cef6,1
03e09579970279a53747f2352707c84a,1
03ee90154857846351a41442ff17af5e,1
03ee943bd04e997b12d16491023ea036,3
03f357f191a17b44199b22fe05382255,1
03fb13f597b088f0cbff14eb9a267a93,3
0405ef031cb4b918b5d3ba292ceb2dab,1
040de4b89fd756988156dbd4bb23a4df,1
04163762124e60857206f44f055e54e1,1
0423c73ed3cdba8b5b6a39808a13e463,1
042f769c6a56eae222e1ab0484cfe15f,1
0435c2b02cabbb7e5fcd3eacff573c33,1
0439e38ce96a36815e4e2d808009d2d8,1
044407bf02fad452b57ff049227d1e7d,1
04458c5a55fdddf497cb95b59b349835,1
044792dec1fe73491440f49716adea1a,1
044820eb45807e999e55c293392691e7,1
044d518683de207ec1f85285f65cf659,2
045a766d66478cfb83248d950c223c35,1
045db3ff451203ca037c9e70551ad41a,2
04610b7264f07128d456e52c57129e01,1
0464664e54e8c48f7f8149b5f1ea447d,3
04661203b2ef768d5aef4719b22d39f5,2
046664636fd1119823bc46b6ae5e2c1c,1
0477cb335a0851663766caa454efc79a,1
047b6004064df325b1c21dd2cc4c778c,1
047ec74007fd9a9160ef1af0f49b7568,1
04829304ca17a1352eadd655b05632a1,1
04829dc4848ae67e74c8a22836092f6f,1
048a5d7deae443b1a77e3b5300c0c490,3
048d20ef02a23340cbcc01e43f854ac1,1
048fd3b8bc1def2b5d17789151f565dd,2
04969b029bd9e592dd4743b3bca2c8d7,1
04991f39fbaa85f38ac8f5c9ff111a28,3
04a57a4ba109e887730e1acbedf36a5a,1
04a698ab2ea9ffd9eb27160252b68c96,1
04a7ac3721a3c93e4e304656fe525f8a,1
04aab4b3f1006cd873f1be337325a6b2,2
04abe3e4403cb42d67e699af59260eb1,1
04b0456a35253cf881d4ddadce755cc5,1
04c49dd63f31408a0ad39eb5dba5a4ac,1
