XXX,Sample,FD10,FD11,FD12,FD13,FD14,FD15,FD16,FD17,FD18,FD31,FD32,FD33,FD34,FD35,FD36,FD43,FD44,FD45,FD46,FD47,FD48,FD7,FD8,FD9,Totalpersamp,totalfeatures,relabund,reabund*100,size
X,62b43007218a31c5920fafc6c005db34,35,50,22,0,27,0,0,8,11,24,0,0,31,8,28,16,28,31,28,0,36,42,58,35,518,1135022,0.000456379,0.045637882,4.05
X,6335726bf151d2c937052be99d617534,50,63,0,31,85,31,68,68,0,75,0,35,115,34,42,100,67,176,102,35,258,0,93,0,1528,1135022,0.001346229,0.134622941,4.13
X,6353e8e4d6f3a1c8050935f433252dec,0,260,254,28,191,300,506,255,154,98,88,250,268,189,296,64,100,0,85,43,77,0,107,37,3650,1135022,0.003215797,0.32157967,4.32
X,63552328df300b1aa1ab40bf7b49911f,160,151,16,23,0,41,0,16,47,56,0,31,138,35,133,46,65,54,90,32,89,238,187,50,1698,1135022,0.001496006,0.149600624,4.15
X,636b8291108f765220c716517342c27f,0,12,36,0,20,9,20,18,0,32,0,0,43,0,10,0,19,0,15,0,0,0,0,0,234,1135022,0.000206163,0.02061634,4.02
X,63945242997d77d36942527575a8a99d,0,0,0,8,0,17,27,0,25,0,0,11,19,0,21,24,20,25,43,0,0,60,46,0,346,1135022,0.00030484,0.030483991,4.03
X,6435305917df1cdda1015c6d8671f88b,0,61,61,0,53,133,129,24,110,0,0,94,42,0,0,0,25,0,0,0,0,0,0,0,732,1135022,0.000644921,0.064492142,4.06
X,6551d66ef2c110d584d8e0dd397daf43,0,0,17,0,0,29,16,32,16,0,0,0,10,0,0,32,33,0,0,20,25,0,0,0,230,1135022,0.000202639,0.020263924,4.02
X,665eb4845976f3eca53f97f29c4cf09f,0,41,14,0,0,0,23,0,0,0,0,24,17,19,20,0,0,0,0,0,0,137,41,57,393,1135022,0.000346249,0.03462488,4.03
X,669306af7642adbf5fdb5657a2ac5ee1,0,15,11,0,16,0,0,0,19,16,9,0,0,5,11,14,27,0,16,0,0,0,5,7,171,1135022,0.000150658,0.015065787,4.02
X,66d2b628187f8fa3b00f5c3628cc161d,63,55,27,0,0,34,0,29,46,63,18,0,118,38,69,33,35,35,46,0,52,156,87,153,1157,1135022,0.001019364,0.10193635,4.10
X,67d3747ee84f037e226b915881038a66,25,21,0,0,17,0,24,0,10,0,0,20,24,0,0,0,21,0,15,0,17,0,33,0,227,1135022,0.000199996,0.019999612,4.02
X,67ee5b631e8da81d3a65a8558efa7b72,20,18,28,0,0,38,68,85,31,0,0,0,0,0,0,58,79,27,0,58,0,0,0,0,510,1135022,0.00044933,0.04493305,4.04
X,67ee89cc3d383651ba4c87867ec6fb78,90,220,62,0,294,354,509,285,401,16,49,172,58,112,86,223,226,110,167,281,215,67,19,14,4030,1135022,0.003550592,0.355059197,4.36
X,68df9aa146fbc58badd2b90fed67eb26,0,37,92,0,38,147,95,115,144,52,38,64,95,60,0,62,89,18,34,67,58,0,0,22,1327,1135022,0.00116914,0.116914033,4.12
X,68f21ace326fd6c1293286eaf7184417,0,0,82,38,57,45,39,71,47,0,0,51,0,0,0,0,62,38,55,73,41,46,76,89,910,1135022,0.000801747,0.080174657,4.08
X,691030e2d6a922bcfaa876be65c5f445,0,13,0,0,0,62,0,47,60,0,0,9,10,0,11,0,0,9,7,43,40,0,0,0,311,1135022,0.000274003,0.02740035,4.03
X,69a25cf370444b4f31c5747eb160978b,23,24,0,10,56,0,22,0,0,0,0,0,0,0,0,0,0,25,24,0,33,48,44,21,330,1135022,0.000290743,0.029074326,4.03
X,69f1ac22a000b2366134834c72015fdd,0,39,44,0,0,89,86,0,50,0,0,66,32,12,52,0,0,0,28,0,0,0,0,0,498,1135022,0.000438758,0.043875802,4.04
X,69f38f9e79867a0a88b172de2543b59d,331,343,328,167,459,437,454,305,445,389,127,398,536,282,337,437,160,422,484,231,334,296,444,364,8510,1135022,0.007497652,0.749765203,4.75
X,6a1917bd9c036971a5d32dc23299b570,7,46,46,0,36,45,97,0,0,8,0,30,0,31,22,39,28,79,73,0,63,40,12,83,785,1135022,0.000691617,0.069161655,4.07
X,6a825d980a7de1a9314fb660c594bee7,0,42,64,0,0,0,29,0,52,45,46,16,53,44,63,75,110,57,41,47,31,62,68,44,989,1135022,0.000871349,0.087134875,4.09
X,6aa8c3772f804fd78ad94be19a04da63,0,49,31,0,0,14,47,0,0,63,0,19,42,137,52,0,31,0,0,0,25,0,36,94,640,1135022,0.000563866,0.056386572,4.06
X,6b11029a780b6fd78fc82ae5c77092d3,550,890,418,198,670,442,624,226,543,460,83,295,547,764,452,308,626,439,403,455,425,714,829,733,12094,1135022,0.0106553,1.065530007,5.07
X,6c1ed4312d03470a8323002ba1553e32,100,210,39,13,58,34,50,0,0,93,0,37,93,35,115,83,0,72,116,0,137,177,161,260,1883,1135022,0.001658999,0.165899868,4.17
X,6cf596d9f7f35025f21ec140b96aa9a6,176,173,95,0,128,88,71,77,77,85,0,332,154,83,110,30,137,138,103,69,62,404,249,230,3071,1135022,0.002705674,0.270567443,4.27
X,6d90fc9deadf01b322f40d7b5a0bf7d7,0,8,17,10,67,37,17,64,30,0,0,0,9,17,10,0,0,0,0,0,0,0,0,0,286,1135022,0.000251977,0.025197749,4.03
X,6ddb6ca13d5e22fb7808595926eceaec,140,130,35,113,78,0,0,0,45,38,0,0,56,0,0,0,55,108,89,0,37,263,168,450,1805,1135022,0.001590278,0.159027755,4.16
X,6e105f3f79341d4c6ac024b928786898,252,186,183,30,212,78,216,130,213,154,59,0,221,83,138,329,265,277,424,157,388,423,422,289,5129,1135022,0.004518855,0.451885514,4.45
X,6e93ba2bd97442f38b96bf7a8609843e,31,48,63,0,57,71,68,177,82,0,19,34,47,25,33,115,164,66,82,82,53,26,32,22,1397,1135022,0.001230813,0.123081315,4.12
X,6f1722d5bfda5781a3f7983e0a24f0dc,0,56,28,0,9,10,0,0,0,0,0,9,27,0,28,0,0,0,0,0,0,47,31,21,266,1135022,0.000234357,0.023435669,4.02
X,7079566bd1959d62ea1c7923159b7a3d,46,78,26,6,51,25,51,42,26,15,0,0,32,0,40,167,160,92,221,58,125,17,33,18,1329,1135022,0.001170902,0.117090241,4.12
X,70d797be773299386054192dc78a5e01,42,0,91,0,0,59,0,81,0,0,0,56,0,0,0,53,46,40,39,90,51,0,0,0,648,1135022,0.000570914,0.057091404,4.06
X,714d60bd4480ed3b0eab40b3ad545ba9,0,85,0,0,26,22,0,0,23,27,0,0,31,30,31,20,0,0,0,0,10,36,37,80,458,1135022,0.000403516,0.040351641,4.04
X,71b158f33f6e5593f0d08f95907f45b8,31,0,43,0,78,54,71,253,90,0,0,0,63,0,0,101,141,68,49,81,116,0,0,0,1239,1135022,0.001091609,0.10916088,4.11
X,722ca2f7dd4cfcfd70770de0b04e21bf,110,153,29,0,35,0,0,14,51,28,35,0,59,0,23,36,78,46,44,0,79,162,58,37,1077,1135022,0.00094888,0.094888029,4.09
X,72b9fd906c292337502380e5e81016dc,0,18,21,0,41,78,24,49,41,0,0,0,0,0,0,66,0,0,0,50,37,0,0,0,425,1135022,0.000374442,0.037444208,4.04
X,72dc981aafcca2d9940db8b121163524,27,83,0,0,0,33,64,0,45,77,0,60,65,85,45,0,37,50,0,0,37,50,0,48,806,1135022,0.000710118,0.071011839,4.07
X,735e187360fdf25275eaef881190740e,134,104,72,0,71,74,97,55,108,165,27,94,158,85,136,96,78,166,102,89,143,284,68,148,2554,1135022,0.002250177,0.225017665,4.23
X,7379cb1eb04cbde0c10f7375d914e6bc,290,326,103,32,88,138,230,33,73,335,134,327,256,194,126,56,211,666,880,342,585,246,310,346,6327,1135022,0.005574341,0.557434129,4.56
X,73cc351d044ed1f086350eb35945b662,94,0,54,30,157,52,67,125,94,123,73,53,97,98,131,23,134,125,55,138,96,76,160,93,2148,1135022,0.001892474,0.189247433,4.19
X,749bdfd49d5482e24016ed5eef1cd9e2,33,116,0,0,0,49,101,50,27,40,0,0,33,0,23,96,97,134,97,49,142,36,34,23,1180,1135022,0.001039627,0.103962743,4.10
X,74d2af17686e6f39a9d3adaec853df05,0,0,0,11,34,0,0,0,0,22,0,77,16,8,8,0,0,0,0,0,0,60,23,20,279,1135022,0.00024581,0.024581021,4.02
X,75cac7ae6fbcbb7817a14f6772f94924,177,233,146,34,203,92,58,151,143,116,17,206,254,224,253,45,93,51,52,67,84,329,254,377,3659,1135022,0.003223726,0.322372606,4.32
X,7610c71ec6589c708edd0bd55497fcde,0,16,9,0,0,0,0,28,12,0,0,0,0,9,0,10,0,4,6,0,0,8,8,0,110,1135022,9.69144E-05,0.009691442,4.01
X,767dac15435346bed392cc943aa325ea,51,237,411,49,214,327,341,204,383,61,0,61,148,45,203,112,201,0,94,210,126,151,92,86,3807,1135022,0.00335412,0.335412001,4.34
X,77599677762880ea8751ee5415827be2,55,0,55,0,29,47,0,0,0,0,0,0,0,0,0,0,0,101,57,0,94,54,74,65,631,1135022,0.000555936,0.055593636,4.06
X,7814437b40796fd8f61a101560bfe4b4,0,62,0,18,41,56,0,0,42,0,0,31,18,18,0,20,39,17,0,0,65,55,31,25,538,1135022,0.000474,0.047399962,4.05
X,7827aba066e2364e6e5bc2e48f5f8c86,18,17,0,0,47,79,109,66,46,0,0,40,19,0,48,29,74,0,0,235,35,0,14,13,889,1135022,0.000783245,0.078324473,4.08
X,784349e477e08340ba4fe07545d1525c,0,19,55,0,0,30,15,83,56,0,11,17,31,0,0,0,0,0,0,42,0,0,0,0,359,1135022,0.000316293,0.031629343,4.03
X,787c7e53503496792dbcfa585c388b9b,146,272,163,68,108,226,261,83,134,217,123,276,146,209,109,239,78,251,430,79,284,244,208,297,4651,1135022,0.004097718,0.409771793,4.41
X,78faab4772ab5a607f822f8e7bfbc0e6,130,47,0,41,189,61,38,0,50,45,0,354,120,96,0,0,25,0,41,0,53,193,126,97,1706,1135022,0.001503055,0.150305457,4.15
X,7921fceb720af59c47c28c493d8d91a7,23,79,41,20,50,66,73,0,38,12,19,116,34,66,39,7,13,0,0,0,0,71,178,110,1055,1135022,0.000929497,0.09294974,4.09
X,7a0d045062b12c073c5e34dec03ae7b7,0,20,25,0,29,21,23,16,24,0,0,10,0,0,0,26,0,7,0,18,0,0,0,0,219,1135022,0.000192948,0.01929478,4.02
X,7a0edff496f00bba213827ea5e7702a2,22,44,20,19,22,29,33,34,0,0,16,27,22,32,28,0,0,0,0,0,0,24,21,24,417,1135022,0.000367394,0.036739376,4.04
X,7b0335adb8b862e1931aed516d897807,23,19,0,0,39,48,0,0,0,36,0,27,28,31,25,51,30,71,88,92,78,100,79,35,900,1135022,0.000792936,0.079293617,4.08
X,7c5e43b67baf767b7e3dbfc961596180,341,505,222,230,283,260,388,338,231,192,51,100,173,240,258,88,72,84,102,0,36,798,605,984,6581,1135022,0.005798125,0.57981255,4.58
X,7c60a851ed6e1b3a0246fc84bc81472d,0,54,0,16,50,49,68,41,0,54,0,56,91,0,48,19,36,0,0,0,0,0,56,25,663,1135022,0.00058413,0.058412965,4.06
X,7c6a64214d1fa88361e42be5789fc416,147,61,0,62,43,19,22,24,48,0,0,20,0,30,53,34,66,67,61,37,0,103,149,184,1230,1135022,0.001083679,0.108367944,4.11
X,7c7c7761ed1d350dd250d3bf1f131073,44,61,90,0,121,116,235,359,182,63,36,65,61,51,92,241,191,74,64,290,185,14,22,0,2657,1135022,0.002340924,0.234092379,4.23
