XXX,Sample,FD10,FD11,FD12,FD13,FD14,FD15,FD16,FD17,FD18,FD31,FD32,FD33,FD34,FD35,FD36,FD43,FD44,FD45,FD46,FD47,FD48,FD7,FD8,FD9,totalsinsample,total all samples,relabund,scale,size
X,7f12e9ddd93142da02395f116fa457d4,4,144,0,0,85,60,239,18,55,0,0,0,0,0,102,8,38,6,1,6,0,0,0,0,766,24576,0.03116862,3.116861979,7.116861979
X,7f78ab9925bf462c0d4ae290254e2a7c,1,0,1,3,8,8,0,67,31,1,0,0,0,0,1,11,7,1,1,4,0,0,0,0,145,24576,0.005900065,0.59000651,4.59000651
X,88b9b5ce30994c15273a16deafdd8c04,11,0,4,8,0,0,0,8,0,16,3,7,17,0,2,0,0,0,1,0,0,0,11,12,100,24576,0.00406901,0.406901042,4.406901042
X,89def94559ef54cd895fc916d249bcd4,164,32,60,116,83,44,47,34,50,86,31,92,71,82,69,53,51,55,40,67,27,25,130,37,1546,24576,0.062906901,6.290690104,10.2906901
X,8c2e3970d13c36a35b5986379ab704da,243,0,85,0,0,0,209,0,0,0,0,596,475,593,598,0,4,0,0,0,42,0,704,0,3549,24576,0.14440918,14.44091797,18.44091797
X,8d06843d07e08fcf50f0e341536194ec,0,10,22,3,0,17,4,43,44,2,0,0,7,0,21,5,30,0,3,34,2,0,0,0,247,24576,0.010050456,1.005045573,5.005045573
X,8e920fbbf8aa7b7f6bb6e0d520835457,0,0,0,4,0,0,1,0,0,0,0,5,2,3,1,2,3,0,0,0,0,0,1,5,27,24576,0.001098633,0.109863281,4.109863281
X,90975e6a5c6a64620a81a7b037a19f27,72,5,12,0,0,0,34,60,143,9,8,0,0,0,8,15,54,6,15,2,60,0,0,0,503,24576,0.020467122,2.04671224,6.04671224
X,9530fd73b85e82f5b83873dad2d153b0,22,23,114,93,38,58,94,62,38,5,34,57,51,46,34,10,10,0,17,4,3,28,9,6,856,24576,0.034830729,3.483072917,7.483072917
X,96184161ff816917e03d5b3f1cbb3cae,4,4,1,7,10,0,2,2,4,26,0,6,3,1,0,4,0,2,2,8,0,2,16,1,105,24576,0.004272461,0.427246094,4.427246094
X,968a62808d33f7a202a1ad953ded5486,32,0,9,2,36,63,11,0,72,0,0,0,0,0,0,14,2,1,9,0,2,0,6,0,259,24576,0.010538737,1.053873698,5.053873698
X,969d2ea421fff808cc35a6c3c346701e,0,0,4,0,21,96,64,14,30,0,0,0,0,0,24,6,14,1,0,0,0,0,6,0,280,24576,0.011393229,1.139322917,5.139322917
X,99e80fb647ce348098a816eb94ee6053,27,85,92,190,17,26,33,44,14,19,32,19,77,49,26,15,8,1,4,2,0,102,58,23,963,24576,0.03918457,3.918457031,7.918457031
X,9b90efe9d3d22c395f3d4d5994cc42d5,4,0,4,0,0,9,5,11,14,0,0,0,0,0,1,6,6,2,0,2,5,0,9,0,78,24576,0.003173828,0.317382813,4.317382813
,a17243acb21097ed40041d97468c4b35,0,1,44,0,21,0,6,57,9,0,0,0,0,0,0,0,1,0,1,18,1,0,0,0,159,24576,0.006469727,0.646972656,4.646972656
