XXX,Sample,FD1,FD19,FD2,FD20,FD21,FD22,FD23,FD24,FD25,FD26,FD27,FD28,FD29,FD3,FD30,FD37,FD38,FD39,FD4,FD40,FD41,FD42,FD5,FD6,totalsinsample,total all samples,relabund,scale,size
X,4e2c801215cf206ccb1a0c5be1e4fd45,4,1,0,1,13,17,0,15,0,0,3,0,16,4,10,4,19,17,0,7,3,10,0,5,149,20786,0.007168286,0.716828635,4.716828635
,e71bf5751d8d23f8c83b8cb823163c94,0,0,0,0,0,0,2,42,0,0,0,0,0,30,51,12,2,1,2,10,0,0,0,3,155,20786,0.007456942,0.745694217,4.745694217
,ac78a742aa74105a18310f4a275e4b97,4,8,3,15,19,15,6,13,1,0,0,0,0,5,8,0,2,0,15,1,4,2,10,26,157,20786,0.007553161,0.755316078,4.755316078
X,4da6d3edcf722c11f7d6c1bf3118e17a,13,28,3,3,0,17,0,0,57,0,3,3,0,10,11,0,0,0,0,10,0,0,1,0,159,20786,0.007649379,0.764937939,4.764937939
,c2bbecb72788dfac5258f79048143acb,11,0,8,6,13,0,3,6,0,5,0,13,7,0,7,0,0,8,7,13,35,8,9,0,159,20786,0.007649379,0.764937939,4.764937939
X,39239d8a919bd2e038baf628fcb8d17b,3,0,0,8,0,13,3,16,0,9,3,0,2,29,8,19,18,5,5,3,12,5,0,0,161,20786,0.007745598,0.7745598,4.7745598
X,9af97e6fe25dc38ba9e5a47b579eab29,12,2,7,0,0,18,0,0,2,4,5,0,1,2,0,0,3,0,8,6,83,0,5,9,167,20786,0.008034254,0.803425382,4.803425382
X,1c98d4be0f258a0c13dc0c5ca72e392d,0,9,0,3,1,1,7,6,3,6,1,0,4,0,87,0,1,5,0,16,15,5,0,0,170,20786,0.008178582,0.817858174,4.817858174
X,02d30d756bdc2bef636557f8739cb345,2,0,0,3,7,22,10,34,12,0,4,0,0,12,0,0,13,14,0,12,26,2,0,0,173,20786,0.00832291,0.832290965,4.832290965
X,23fdf4be4e673395677ee65190c6ea17,119,3,0,0,4,4,1,0,11,5,0,0,25,0,0,0,0,0,2,0,0,1,0,0,175,20786,0.008419128,0.841912826,4.841912826
,cc4f2e2e6f6159fcacbfcf8bda19f096,16,8,15,3,3,8,3,0,5,21,15,0,3,15,8,6,0,0,26,3,0,0,12,5,175,20786,0.008419128,0.841912826,4.841912826
,f42553bb1a93e56af0d8e9a077ff3a31,0,0,36,11,0,14,48,0,27,3,4,0,2,0,0,0,0,4,0,5,0,0,37,0,191,20786,0.009188877,0.918887713,4.918887713
X,48fb4f8c7169e446fb5253f7c0cbdf58,10,62,1,29,1,0,7,3,39,15,2,1,0,10,3,4,0,0,1,2,3,0,1,3,197,20786,0.009477533,0.947753295,4.947753295
X,8c7b2024ebd20ba6ae4e4330080a58da,36,8,9,5,11,13,7,0,25,0,9,10,31,18,0,0,0,0,28,3,0,0,20,0,233,20786,0.011209468,1.120946791,5.120946791
X,88b9b5ce30994c15273a16deafdd8c04,18,7,2,41,0,20,0,8,14,14,2,0,9,0,5,0,2,0,33,18,18,10,17,0,238,20786,0.011450014,1.145001443,5.145001443
X,45a07a39fafc2c6b9f8505ca7c4f36a5,3,15,0,0,5,9,2,5,0,0,0,21,3,0,8,49,8,21,0,83,9,17,17,0,275,20786,0.013230059,1.323005869,5.323005869
X,77ef9fa42a44f0ff2c434b7213613f5a,28,0,12,0,0,21,4,0,0,0,40,0,25,0,0,0,0,6,103,15,1,23,19,19,316,20786,0.01520254,1.520254017,5.520254017
,ef03c72cbba847681429d4b9f1d0a7d1,0,0,22,0,1,75,3,29,3,0,2,0,0,0,3,5,7,7,15,89,30,20,6,0,317,20786,0.015250649,1.525064948,5.525064948
,abeda5d3ee7ffa0360ae1b0762fb785e,2,9,0,5,15,20,16,26,2,6,4,17,6,1,17,48,36,28,8,8,23,16,3,13,329,20786,0.015827961,1.582796113,5.582796113
